[0004.75-0005.75] 老师
[0006.75-0008.75] 能否讲一讲金手指
[0009.75-0010.75] 诶?
[0010.75-0011.75] 金手指是什么?
[0011.75-0012.75] 我不懂啊
[0012.75-0014.75] 你打我一拳试试
[0014.75-0032.09] 他们的就是金手指啊
[0032.09-0035.09] 诶?一拳打死人就是金手指
[0035.09-0036.09] 这必须是啊
[0036.09-0037.09] 诶这个嘛
[0037.09-0039.09] 可以简单理解为外挂
[0039.09-0041.09] 主角光环本身就是一个外挂
[0041.09-0044.09] 那为何说金手指要越具体越好呢
[0044.09-0046.09] 因为适配性的问题
[0046.09-0047.09] 适配性的问题
[0047.09-0049.09] 你不能拿着10年前的网游的外挂
[0049.09-0051.09] 来打王者荣耀吧
[0051.09-0052.09] 也是
[0052.09-0053.09] 能否结合一些案例
[0053.09-0054.09] 来让我加深理解
[0054.09-0056.09] 我讲一个金手指的极致例子
[0056.09-0057.09] Doraemon
[0057.09-0058.09] Doraemon这个角色
[0058.09-0060.09] 本身就是一个巨大的金手指
[0060.09-0061.09] 按理说
[0061.09-0063.09] Doraemon能够通过时光机回来
[0063.09-0064.09] 那么
[0064.09-0065.09] 其他角色的子孙
[0065.09-0067.09] 也能给他们买一个Doraemon
[0067.09-0069.09] 但其他角色并没有
[0069.09-0070.09] 只有大熊友
[0070.09-0072.09] 这就是主角光环
[0072.09-0073.09] 我懂了
[0073.09-0075.09] Doraemon是一个巨大的金手指
[0075.09-0076.09] 但每一个小故事
[0076.09-0078.09] 会根据大熊遇到的障碍
[0078.09-0080.09] 有各种具体的道具
[0080.09-0081.09] 不过
[0081.09-0083.09] 这跟乘引极致有什么关系呢
[0083.09-0084.09] 你为什么要问这个
[0084.09-0086.09] 毫不相关的问题
[0086.09-0087.09] 我也不知道为何
[0087.09-0089.09] 脑里就浮现了这个问题
[0089.09-0090.09] 大概是强行推进
[0090.09-0091.09] 剧情时的bug
[0091.09-0092.09] 我先简单讲一下
[0092.09-0093.09] 乘引极致
[0093.09-0094.09] 科学家斯金娜
[0094.09-0096.09] 对白鼠的操作性行为
[0096.09-0097.09] 进行研究
[0097.09-0098.09] 得出一个规律
[0098.09-0099.09] 其
[0099.09-0101.09] 如果一个操作行为发生后
[0101.09-0102.09] 接着
[0102.09-0104.09] 给予一个强化刺激
[0104.09-0105.09] 那么
[0105.09-0106.09] 其强度就会增加
[0106.09-0107.09] 比如
[0107.09-0109.09] 孩子偶尔叫了一声妈
[0109.09-0112.09] 妈妈便抱以微笑和爱抚
[0112.09-0113.09] 于是
[0113.09-0115.09] 孩子学会了叫妈妈
[0115.09-0117.09] 这跟金手指有什么关系
[0117.09-0118.09] 只要大熊遇到困难
[0118.09-0120.09] 就会得到一件新道具
[0120.09-0121.09] 对于观众而言
[0121.09-0123.09] 这是一个可预判的结果
[0123.09-0125.09] 这是构成乘引极致的基础
[0125.09-0127.09] 可预判的结果
[0127.09-0128.09] 是乘引的基础
[0128.09-0129.09] 没错
[0129.09-0130.09] 所有的乘引行为
[0130.09-0132.09] 必须有一个确定性的反馈
[0132.09-0133.09] 例如竞技比赛
[0133.09-0134.09] 赌博
[0134.09-0135.09] 丑卡
[0135.09-0136.09] 盲盒
[0136.09-0137.09] 彩票
[0137.09-0138.09] 刷视频
[0138.09-0139.09] 打游戏等等
[0139.09-0140.09] 可这些最终结果
[0140.09-0142.09] 都是不可预测的
[0142.09-0144.09] 可预判的范围是确定的
[0144.09-0145.09] 比赛有输赢
[0145.09-0147.09] 盲盒彩票最好和最坏的情况
[0147.09-0149.09] 都有确定性的范围
[0149.09-0150.09] 不过
[0150.09-0151.09] 确定性的结果
[0151.09-0152.09] 只有一种的话
[0152.09-0153.09] 乘引行为
[0153.09-0155.09] 很快就会消失
[0155.09-0156.09] 为什么会这样
[0156.09-0157.09] 因为人的欲望
[0157.09-0159.09] 是无休止的在膨胀的
[0159.09-0161.09] 例如我发了一条视频
[0161.09-0162.09] 获得了100个赞
[0162.09-0163.09] 我十分兴奋
[0163.09-0166.09] 可第二次获得100个赞的时候
[0166.09-0168.09] 我的兴奋度就衰减了
[0168.09-0170.09] 甚至到最后会觉得
[0170.09-0171.09] 怎么才100个赞
[0171.09-0172.09] 无趣
[0172.09-0174.09] 你这么过分的吗
[0174.09-0176.09] 我只是打个比喻
[0176.09-0178.09] 所以游戏和竞技比赛
[0178.09-0179.09] 都要分等级
[0179.09-0181.09] 例如你玩王者荣耀的人
[0181.09-0183.09] 天天都在青铜级别玩
[0183.09-0184.09] 每把都赢
[0184.09-0185.09] 也会觉得没意思
[0185.09-0186.09] 我懂了
[0186.09-0188.09] 故事也是一样
[0188.09-0190.09] 主角遇到的障碍越来越大
[0190.09-0191.09] 获得的赌注和奖赏
[0191.09-0193.09] 也越来越多
[0193.09-0194.09] 冲突不断升级
[0194.09-0196.09] 让观众欲拔不能
[0196.09-0197.09] 没错
[0197.09-0199.09] 设定一个可以成长的金手指
[0199.09-0200.09] 是一个不错的选择
[0200.09-0203.09] 可升级最终还是会有局限
[0203.09-0204.09] 如果一开始
[0204.09-0206.09] 就把金手指开得很大
[0206.09-0207.09] 那要怎么继续
[0207.09-0209.09] 哪有人这样干的
[0209.09-0210.09] 我知道一个光头
[0210.09-0211.09] 开场就无敌
[0211.09-0213.09] 一拳就能干翻所有反派
[0213.09-0216.09] 我们还是收回多拉A梦吧
[0216.09-0217.09] 你说
[0217.09-0218.09] 多拉A梦这个金手指
[0218.09-0219.09] 开得大不大
[0219.09-0221.09] 确实挺无礼的
[0221.09-0222.09] 这种时候
[0222.09-0224.09] 就要引入乘引机制最重要的因素
[0224.09-0226.09] 随机性
[0226.09-0227.09] 说回实验
[0227.09-0230.09] 小白鼠按下按钮就一定会出食物
[0230.09-0233.09] 或者按下按钮一定不会出食物
[0233.09-0234.09] 这两种情况
[0234.09-0236.09] 小白鼠都会很快觉得无聊
[0236.09-0237.09] 不再按按钮
[0237.09-0239.09] 可一旦引入随机性
[0239.09-0240.09] 小白鼠会上瘾
[0240.09-0241.09] 疯狂地按按钮
[0241.09-0243.09] 刚才提到的竞技比赛
[0243.09-0244.09] 游戏
[0244.09-0245.09] 防核
[0245.09-0246.09] 抽卡
[0246.09-0247.09] 甚至是赌博
[0247.09-0249.09] 我们都有可预判的范围
[0249.09-0250.09] 可过程和结果
[0250.09-0251.09] 却充满了随机性
[0251.09-0253.09] 我们知道会有输赢
[0253.09-0255.09] 但不知道谁输谁赢
[0255.09-0256.09] 我们知道会报装备
[0256.09-0258.09] 但不知道什么时候报
[0258.09-0259.09] 甚至是谁减到
[0259.09-0260.09] 这样的机制
[0260.09-0261.09] 会让我们上瘾
[0261.09-0262.09] 说回金手指
[0262.09-0263.09] 你来说说
[0263.09-0265.09] 多拉A梦引入的随机性是什么
[0265.09-0267.09] 每集都有新的障碍
[0267.09-0268.09] 和新的道具
[0268.09-0269.09] 没错
[0269.09-0270.09] 多拉A梦最大的魅力
[0270.09-0271.09] 在于脑洞
[0271.09-0273.09] 每个道具都是金手指
[0273.09-0274.09] 可以让观众幻想
[0274.09-0276.09] 它得到这个道具后
[0276.09-0277.09] 可以做些什么
[0277.09-0278.09] 可这要源源不断的
[0278.09-0280.09] 脑洞和新道具
[0280.09-0281.09] 也太难了吧
[0281.09-0282.09] 再举个例子
[0282.09-0284.09] 天龙八步里的段玉
[0284.09-0285.09] 学会了武功绝学
[0285.09-0286.09] 六脉神剑
[0286.09-0287.09] 可十零十不零
[0287.09-0289.09] 零的时候天下无敌
[0289.09-0290.09] 不零的时候
[0290.09-0291.09] 谁也打不过
[0291.09-0292.09] 这便会引起
[0292.09-0294.09] 观众的紧张和期待
[0294.09-0295.09] 希望它能装批成功
[0295.09-0296.09] 意思是说
[0296.09-0297.09] 我可以设置一个
[0297.09-0299.09] 十零十不零的金手指
[0299.09-0300.09] 这只是遇中做法
[0300.09-0302.09] 你还怎么做都可以
[0302.09-0303.09] 不过
[0303.09-0304.09] 要注意下线
[0304.09-0305.09] 下线
[0305.09-0306.09] 不仅会六脉神剑
[0306.09-0307.09] 还会灵波微步
[0307.09-0308.09] 和北明神弓
[0308.09-0309.09] 六脉神剑
[0309.09-0310.09] 是杀伤力武器
[0310.09-0312.09] 灵波微步是保命
[0312.09-0313.09] 北明神弓
[0313.09-0314.09] 是升级
[0314.09-0315.09] 主动攻击的武器
[0315.09-0316.09] 可以十零十不零
[0316.09-0318.09] 可保命的绝招
[0318.09-0319.09] 抵靠得住
[0319.09-0320.09] 还有录顶级里的伟小宝
[0320.09-0322.09] 武功就是战武扎
[0322.09-0323.09] 可逃命的功夫
[0323.09-0324.09] 神型百变
[0324.09-0326.09] 保命的金丝软甲
[0326.09-0327.09] 偶尔用来装备的
[0327.09-0328.09] 吹毛断发的臂手
[0328.09-0329.09] 一样不少
[0329.09-0330.09] 基础理论
[0330.09-0331.09] 我有那么一点概念了
[0331.09-0332.09] 能否再找个案例
[0332.09-0333.09] 恐怖一下
[0333.09-0334.09] 下次吧
[0334.09-0335.09] 总会有机会的
[0335.09-0336.09] 等等
[0336.09-0338.09] 讲一下具体练习方法也行
[0338.09-0340.09] 下次下次
[0340.09-0341.09] 下次一定
