[0002.74-0004.74] 动感十字光
[0004.74-0007.42] 唉 尽管他很白痴
[0007.42-0008.66] 但我不得不承认
[0008.66-0011.34] 这也是引人共鸣的九大绝技之一
[0011.34-0013.22] 你竟然敢说奥特曼白痴
[0013.22-0015.38] 我只是说你白痴
[0015.38-0018.30] 而且动感十字光是动感超人的觉着
[0018.30-0022.06] 哦 所以引人共鸣的绝技也是动感十字光
[0022.06-0025.30] 来人 把这个白痴给我驱逐出去
[0025.30-0026.90] 嗯嗯 隆重介绍
[0026.90-0029.14] 引人共鸣的九大绝技之一
[0029.14-0031.46] 本是超级英雄类型的电影
[0031.58-0033.38] 就着重使用了这一点
[0033.38-0035.62] 主角都有着不同的绝技
[0035.62-0036.62] 奥鲁相似
[0036.62-0039.34] 带影生出了无数的超级英雄IP
[0039.34-0042.18] 人们或多或少都会产生牧强心理
[0042.18-0045.02] 对强者都会有敬佩崇拜的情感
[0045.02-0046.50] 这也是很多作品中
[0046.50-0049.02] 出现高人气反派角色的原因
[0049.02-0051.10] 例如火影忍者里面的小
[0051.10-0053.62] 全只猎人里面的幻影女团等等
[0053.62-0055.14] 哎 不是讲电影的吗
[0055.14-0056.34] 怎么讲漫画去了
[0056.34-0059.02] 相信看过蝙蝠侠黑暗骑士的朋友
[0059.02-0061.30] 都会被小丑的登场震撼到
[0061.30-0063.90] 被她敬为天人的狗略和瘟狂所致
[0063.90-0067.13] stranger
[0067.13-0068.65] 老实讲小丑
[0068.65-0070.69] 看来你内心很阴暗啊
[0070.69-0071.69] 要注意的是
[0071.69-0074.49] 过于强大的主角要给她设计缺点
[0074.49-0076.61] 就像DC宇宙里无敌的超人
[0076.61-0078.85] 也要设计刻心石来限制她
[0078.85-0081.25] 一圈超人里面的奇遇就是无敌的
[0081.25-0082.57] 那她的缺点是什么
[0082.57-0083.49] 掉头发吗
[0083.49-0084.37] 滚
[0084.37-0086.13] 我们来看下一项绝技
[0086.13-0087.13] 幽默
[0087.13-0089.81] 关于幽默原文是这样讲的
[0089.81-0092.53] 我们对制造欢乐的人缺乏免益力
[0092.57-0095.45] 我们会自然的被身边幽默的人吸引
[0095.45-0096.57] 真正的智慧
[0096.57-0099.65] 是机智且充满人性动系力的
[0099.65-0100.21] 所以
[0100.21-0103.45] 如果你有可能赋予主角内在而有趣的幽默感
[0103.45-0104.61] 那就不要犹豫
[0104.61-0105.81] 好莱坞的大屏中
[0105.81-0107.13] 主角常常冷不丁
[0107.13-0110.29] 就会来一段俏皮化来缓解紧张的气氛
[0110.29-0112.09] 或者设计一些搞笑的桥段
[0112.09-0113.17] 逗乐观众
[0113.17-0115.29] 上节课还拿玩耿当反烈
[0115.29-0117.01] 这节课就变成优点了
[0117.01-0117.97] 爽标
[0117.97-0121.05] 前提是不要破坏人设和节奏
[0121.13-0121.81] 切记
[0121.81-0123.25] 过游不及
[0123.25-0125.97] 雷神3加入了喜剧元素取得成功好
[0125.97-0127.73] 雷神4变本加厉
[0127.73-0130.41] 不分场合加入各种喜剧桥段
[0130.41-0132.13] 本想打造何家欢电影
[0132.13-0133.41] 结果成了闹剧
[0133.41-0134.33] 不伦不累
[0134.33-0135.53] 又烂又尬
[0135.53-0136.49] 这又不行
[0136.49-0137.57] 那又不行
[0137.57-0139.57] 这些个招儿学来有屁用
[0139.57-0141.53] 九大绝技最后一招
[0141.53-0143.25] 伸出险境
[0143.25-0144.17] 伸出险境
[0144.17-0146.93] 往往意味着主角要付出代价
[0146.93-0148.13] 代价赌注越大
[0148.13-0149.29] 涨比就越大
[0149.33-0151.65] 越能吸引观众的注意力
[0151.65-0153.53] 剧本大纲的节课讲到的案例
[0153.53-0154.81] 怒火攻心
[0154.81-0157.89] 死亡危机从一开篇就缠绕着主角
[0157.89-0159.69] 一直到影片结束
[0159.69-0161.25] 对这招有兴趣的小伙伴
[0161.25-0162.73] 可以去看那期视频
[0162.73-0164.61] 在这里就不再展开了
[0164.61-0165.93] 又想偷懒
[0165.93-0166.77] 无耻
[0166.77-0167.93] 值得一提的是
[0167.93-0169.49] 末世逃生类基本上
[0169.49-0172.01] 都是围绕着这个绝招来做文章
[0172.01-0173.65] 做得好就简单粗暴
[0173.65-0175.17] 爽 近报
[0175.17-0178.25] 但是做不好就很容易会陷入平静
[0178.29-0180.37] 毕竟开篇就是生死危机
[0180.37-0182.53] 后续危机很难升级
[0182.53-0184.21] 并且一直过于紧崩
[0184.21-0186.25] 观众会感到疲劳
[0186.25-0188.61] 所以用伸出险境开篇后
[0188.61-0190.97] 还是要快速的使用其他几招
[0190.97-0194.01] 让主角快速获得观众更多的共鸣
[0194.01-0194.73] 放开我
[0194.73-0195.81] 我有装逼
[0195.81-0196.97] 我把它杀了
[0196.97-0197.81] 大家没有意见
