[0000.00-0002.28] 好的 各位朋友们 头子杀回来了
[0002.28-0004.80] 停耕这段时间 头子并没有闲着
[0004.80-0006.96] 我给大家做了一套硬核的付费课程
[0006.96-0008.20] 广告 我们后面再打
[0008.20-0009.64] 先进入这些课的正题
[0009.64-0011.92] 今天我们要聊的内容是网文金手指
[0011.92-0013.12] 记得头子之前讲过
[0013.12-0014.44] 脑洞文开头怎么写吧
[0014.44-0015.92] 在那期视频里头次说过
[0015.92-0018.00] 金手指这个课题要拆出来讲
[0018.00-0018.56] 为什么呢
[0018.56-0020.36] 因为脑洞和系统是金手指
[0020.36-0022.64] 但是金手指不只是系统
[0022.64-0023.68] 也不只是脑洞
[0023.68-0026.56] 很多人一听脑洞文 系统文
[0026.56-0028.32] 就以为脑洞或者系统
[0028.32-0030.32] 就是金手指的全部
[0030.32-0032.32] 他们认为想好了脑洞和系统
[0032.32-0033.88] 就代表着想好的金手指
[0033.88-0035.00] 这样就可以动笔
[0035.00-0035.88] 对于这种想法
[0035.88-0037.16] 头子必须提醒各位
[0037.16-0038.40] 这是本末道志的
[0038.40-0039.96] 脑洞文头子讲过
[0039.96-0042.72] 本质上是吸引读者的一种写作手法
[0042.72-0044.48] 说白了 脑洞是那疊醋
[0044.48-0047.04] 而网文故事本身才是那盘饺子
[0047.04-0047.96] 脑洞是个影子
[0047.96-0049.24] 是吸引读者的钩子
[0049.24-0050.84] 我们再来看看金手指
[0050.84-0052.60] 它本质上是一个写作工具
[0052.60-0055.68] 它是为了让网文这盘主菜更美味
[0055.68-0057.60] 更合理 更殆尽的佐料
[0057.60-0058.44] 它重要吗
[0058.44-0059.20] 当然重要
[0059.20-0060.68] 没有 它故事这盘主菜
[0060.68-0062.76] 可能寡弹无味 甚至逻辑不通
[0062.76-0063.92] 但它不是主菜
[0063.92-0065.56] 就算你写的是脑洞文
[0065.56-0067.48] 你也需要识课繃紧这根弦
[0067.48-0069.24] 金手指是为故事服务的
[0069.24-0070.52] 故事本身才是核心
[0070.52-0073.20] 说到这 可能有些朋友有点迷糊了
[0073.20-0074.84] 你不是刚说脑洞是醋
[0074.84-0076.96] 脑洞文是为醋包的饺子
[0076.96-0078.60] 现在又说故事本身更重要
[0078.60-0080.36] 这样的两种说法不矛盾吗
[0080.36-0081.60] 当然是不矛盾的
[0081.60-0082.80] 听头子给你解释清楚
[0082.80-0085.32] 脑洞是吸引读者的影子没有问题
[0085.32-0086.52] 但真正决定读者是
[0086.52-0087.36] 尝尝味道就走
[0087.36-0089.28] 还是沉浸在你的情节之中
[0089.28-0090.72] 靠的还是故事这盘饺子
[0090.72-0092.48] 本身的味道和质量
[0092.48-0094.08] 因为无论你写什么类型的文
[0094.08-0096.00] 选换都市 科换历史
[0096.00-0097.16] 故事永远是主体
[0097.16-0097.80] 是根基
[0097.80-0098.56] 这个观点
[0098.56-0100.96] 头子相信大家应该能够理解
[0100.96-0102.12] 并且认同
[0102.12-0104.20] 那么为什么头子要花这么大力气
[0104.20-0105.76] 强调故事的重要性呢
[0105.76-0108.36] 因为金手指这个概念诞生的目的
[0108.36-0110.24] 就是为了满足让故事更精彩
[0110.24-0111.28] 更合理的需求
[0111.28-0113.44] 要真正搞懂金手指是怎么玩
[0113.44-0114.80] 咱们要先弄明白
[0114.84-0116.84] 什么样的故事是一个精彩的故事
[0116.84-0118.56] 网文故事的精彩程度
[0118.56-0120.72] 很大程度上取决于一个核心标准
[0120.72-0121.60] 那就是爽
[0121.60-0122.68] 关于爽点的本质
[0122.68-0123.60] 头子在这后
[0123.60-0124.24] 第一个视频里
[0124.24-0126.00] 就给大家掰开揉碎的讲过了
[0126.00-0127.88] 新来的朋友建议去考古一下
[0127.88-0129.40] 后面头子还会出爽点
[0129.40-0130.56] 构造方法的视频
[0130.56-0131.84] 那么现在头子要问各位
[0131.84-0133.32] 一个更根源的问题
[0133.32-0135.08] 网文到底讲了一个什么故事
[0135.08-0135.84] 各位想想
[0135.84-0137.84] 现在市面上的爆款网文
[0137.84-0139.76] 甭管是废柴逆袭
[0139.76-0141.04] 大佬重生
[0141.04-0142.76] 还是众田争霸
[0142.76-0144.24] 恋爱田虫
[0144.28-0147.00] 是不是都绕不开一个核心脉络
[0147.00-0148.12] 那就是一个角色
[0148.12-0150.64] 从相对普通或弱势的气垫
[0150.64-0152.12] 经历挑战和成长
[0152.12-0153.88] 最终走向成功的故事
[0153.88-0155.44] 这个过程具体怎么拆解
[0155.44-0156.32] 怎么设计的
[0156.32-0157.20] 跌宕起伏
[0157.20-0158.48] 高潮跌起头子
[0158.48-0160.12] 把这部分内容的详细拆解
[0160.12-0161.40] 放在了付费课程里
[0161.40-0163.76] 这些内容不是今天的重点
[0163.76-0165.52] 咱们今天只需要抓住
[0165.52-0166.52] 这个核心框架
[0166.52-0167.80] 主角的成功之路
[0167.80-0169.16] 那么在这个核心框架里
[0169.16-0170.64] 经手指的作用是什么
[0170.64-0172.08] 简单粗暴地说
[0172.08-0175.76] 经手指就是给主角开挂的那个挂
[0175.76-0176.60] 更精准点说
[0176.60-0178.84] 经手指的作用是给主角
[0178.84-0181.04] 在成长过程中获得的优势
[0181.04-0181.92] 能力机遇
[0181.92-0182.96] 提供一个合理的
[0182.96-0184.32] 能够资源其说的解释
[0184.32-0185.16] 换个角度想想
[0185.16-0186.92] 我们之所以设定经手指
[0186.92-0188.76] 核心目的不就是为了把
[0188.76-0190.36] 主角凭什么能赢
[0190.36-0191.96] 凭什么能快速成长
[0191.96-0194.20] 凭什么能获得别人得不到的好处
[0194.20-0195.92] 类似这样设定的合理化吗
[0195.92-0196.64] 讲到这里
[0196.64-0198.40] 我们得到了设定经手指的
[0198.40-0199.04] 第一个问题
[0199.04-0200.72] 怎么完成角色优势的合理化
[0200.72-0201.24] 问题
[0201.28-0202.00] 放在这里
[0202.00-0202.72] 各位想一想
[0202.72-0204.16] 我们为什么要把角色的优势
[0204.16-0204.80] 合理化
[0204.80-0207.20] 是不是因为要让角色的强合乎逻辑
[0207.20-0209.04] 那么合乎逻辑为什么这么重要
[0210.04-0212.96] 因为合乎逻辑是产生带入感的前提
[0212.96-0216.64] 同时也是读者能够产生期待感的前提
[0216.64-0217.24] 换句话说
[0217.24-0219.44] 合乎逻辑是爽感产生的基础
[0219.44-0220.36] 那么合乎逻辑
[0220.36-0222.68] 自然就成了故事成功的关键
[0222.68-0224.12] 关于合乎逻辑的内容
[0224.12-0226.20] 我们后面会详细给大家展开讲
[0226.20-0227.08] 现在我们只要知道
[0227.08-0229.60] 合乎逻辑是个很重要的事就行了
[0229.60-0230.92] 既然合乎逻辑
[0230.92-0231.72] 这么重要
[0231.72-0233.16] 那么经手指这个外挂
[0233.16-0236.04] 本身是不是也需要一个合乎逻辑的设定了
[0236.04-0237.28] 你可能会怀疑
[0237.28-0239.32] 现在的网文小说应该都标配系统
[0239.32-0241.00] 但是头子告诉你
[0241.00-0241.76] 系统也好
[0241.76-0242.44] 脑洞也罢
[0242.44-0244.52] 也是可以做合乎逻辑的设定的
[0244.52-0246.52] 这样的设定是能够增加系统文
[0246.52-0248.80] 和脑洞文的后续吸引力的
[0248.80-0250.84] 如果你单纯就写系统和脑洞
[0250.84-0251.52] 当然没问题
[0251.52-0253.80] 而且这是新手作者的最佳选择
[0253.80-0255.76] 但是站在教学者的角度
[0255.76-0256.92] 头子有责任
[0256.92-0258.12] 把更深的知识
[0258.12-0259.56] 更全面的理论清楚
[0259.60-0261.16] 明白的展现给你们
[0261.16-0263.96] 系统和脑洞是读者和作者
[0263.96-0266.96] 约定俗成的故事底层架构
[0266.96-0268.68] 他们之所以会出现
[0268.68-0271.80] 是因为这样的设定能够让爽点提前
[0271.80-0273.16] 但是我们卷到后面
[0273.16-0276.44] 发现能够给读者留下印象的文
[0276.44-0278.20] 能够让读者相信为真的
[0278.20-0281.28] 角色很难是来自系统文或者脑洞文
[0281.28-0284.04] 头子不是在否定系统和脑洞的作用
[0284.04-0286.36] 而是把网文市场的真实情况
[0286.36-0287.48] 展现给你看
[0287.48-0288.32] 原因是什么
[0288.36-0290.36] 原因就是系统和脑洞
[0290.36-0292.36] 限制了读者相信这个故事为真的
[0292.36-0292.96] 可能性
[0292.96-0294.68] 所以能够正道的故事
[0294.68-0296.00] 无论在哪个平台
[0296.00-0298.64] 大多数用的都是合乎逻辑的金手指
[0298.64-0300.28] 而不是系统和脑洞
[0301.64-0303.44] 那么怎么让金手指合理
[0303.44-0305.36] 头子给各位提炼了两个关键点
[0305.36-0307.60] 第一 设置金手指的必要性
[0307.60-0308.32] 用人话说
[0308.32-0310.68] 就是金手指为什么一定要存在
[0310.68-0312.52] 它包含了如下几个问题
[0312.52-0314.20] 是谁创造了金手指
[0314.20-0315.68] 它为什么要创造金手指
[0315.68-0318.60] 这个创造金手指的人意志或者规则
[0318.60-0320.16] 为什么要让主角变强
[0320.16-0321.04] 主角变强后
[0321.04-0323.00] 对金手指的塑造者有什么好处
[0323.00-0324.64] 或者能为他解决什么问题
[0324.64-0326.12] 他除了想让主角变强外
[0326.12-0328.60] 还给主角准备了什么考验或帮助
[0328.60-0331.08] 第二 设置金手指的唯一信用人话说
[0331.08-0333.04] 就是金手指为什么偏偏选中了
[0333.04-0334.28] 主角而不是别人
[0334.28-0336.40] 为什么张三里死亡二麻子不行
[0336.40-0338.36] 而我们的主角却可以得到帮助
[0338.36-0339.88] 是主角的什么特殊性
[0339.88-0342.36] 让金手指的创造者选择负予主角能力
[0342.36-0343.20] 这种特殊性
[0343.20-0345.48] 除了让主角得到金手指之外
[0345.48-0346.56] 还有什么作用
[0346.56-0348.84] 想要回答必要性和唯一性的问题
[0348.84-0351.48] 就需要我们结合小说主题的剧情安排
[0351.48-0354.00] 才有可能完成金手指的合理化
[0354.00-0354.84] 讲到这里
[0354.84-0358.04] 各位是不是有点豁然开朗的感觉了
[0358.04-0360.68] 为什么很多写作的教学都强调金手指
[0360.68-0361.68] 不是那么简单
[0361.68-0364.24] 为什么说金手指要考虑剧情设计
[0364.24-0366.08] 要结合剧情框架
[0366.08-0368.52] 其实核心就在于金手指的合理化
[0368.52-0370.32] 需要通过剧情来展现
[0370.32-0371.28] 理解了这一点
[0371.32-0373.40] 我们再回头看金手指的形式
[0373.40-0374.64] 是不是海阔天空了
[0374.64-0375.84] 金手指可以是系统
[0375.84-0377.40] 脑洞 简单直接长
[0377.40-0378.64] 作为外挂存在
[0378.64-0380.16] 也可以是特殊道具物品
[0380.16-0381.96] 比如一个戒指里的老爷爷
[0381.96-0382.92] 一本天书
[0382.92-0383.84] 一把神器
[0383.84-0385.40] 还可以是独特天赋
[0385.40-0386.28] 血脉设定
[0386.28-0387.44] 例如天生神力
[0387.44-0388.28] 特殊同术
[0388.28-0389.12] 龙族血脉
[0389.12-0390.88] 当然少不了特殊规则
[0390.88-0392.76] 环境设定比如主角重生
[0392.76-0394.92] 或者穿越带来的先知先觉
[0394.92-0397.56] 某个只有主角能利用的秘境规则
[0397.56-0399.96] 或者一个特殊的时间流速空间
[0399.96-0402.28] 还可以是关键信息知识的贯注
[0402.28-0404.56] 比如主角掌握的独家情报
[0404.56-0405.88] 失传的密集
[0405.88-0407.36] 超纲的科技知识
[0407.36-0408.68] 或者特殊的人机关系
[0408.68-0411.32] 势力的帮助一个强大的靠山
[0411.32-0413.20] 一个忠诚的伙伴团体
[0413.20-0414.44] 一个隐藏的身份
[0414.44-0416.80] 甚至是一种特殊的运气或因果率
[0416.80-0418.40] 当然这个需要更高明的写法
[0418.40-0419.24] 来合理化
[0419.24-0421.48] 金手指可以是上述任何一种
[0421.48-0422.60] 或者是他们的作
[0422.60-0424.20] 差别只在于
[0424.20-0425.60] 你是否需要
[0425.60-0428.12] 以及如何通过剧情设计
[0428.12-0429.64] 来解释它的必要性
[0430.56-0432.20] 那么现在我们可以给金手指
[0432.20-0433.00] 下个定义了
[0433.00-0434.20] 一切能够合理解释
[0434.20-0435.92] 主角在成长与成功道路上
[0435.92-0437.08] 或者关键优势的
[0437.08-0438.80] 剧情元素或元素的组合
[0438.80-0439.96] 都叫做金手指
[0439.96-0441.00] 从这个定义出发
[0441.00-0442.64] 我们还能得到一个重要结论
[0442.64-0444.36] 那就是只要逻辑自洽
[0444.36-0446.16] 设定合理一本网文
[0446.16-0448.24] 完全可以设定多个金手指
[0448.24-0450.12] 比如主角有个系统负责加点
[0450.12-0451.84] 还有个老爷爷负责指点
[0451.84-0454.04] 再有点特殊血脉强化体制
[0454.04-0455.64] 只要你能把这些金手指的
[0455.64-0457.56] 必要性和唯一性解释清楚
[0457.56-0458.44] 就完全没问题
[0458.44-0459.72] 好了 明确了
[0459.72-0462.28] 金手指的本质和核心要求
[0462.28-0464.80] 我们就可以给金手指分个类了
[0464.80-0466.96] 方便大家理解和应用
[0466.96-0469.32] 第一种必须考虑合理性的金手指
[0469.32-0470.92] 这类金手指深度融入
[0470.92-0472.68] 故事世界观和逻辑体系
[0472.68-0474.64] 它们的出现和运作需要作者
[0474.64-0477.20] 通过剧情设计来回答必要性和唯一性
[0477.20-0478.00] 这种金手指
[0478.00-0479.96] 包含几乎所有的剧情元素
[0479.96-0480.84] 我们举几个例子
[0480.84-0483.72] 特殊道具或物品如家族传承的
[0483.72-0484.28] 玉佩
[0484.28-0486.00] 意外简到的神器碎片
[0486.04-0488.60] 独特天赋或血脉如鲜天道体
[0488.60-0490.08] 上古神兽血脉觉醒
[0490.08-0491.44] 特殊规则或环境
[0491.44-0493.68] 如主角重生带来的信息差
[0493.68-0495.72] 只有主角能进入的时光小物
[0495.72-0497.04] 关键信息或知识
[0497.04-0499.32] 如主角掌握的独家单方
[0499.32-0500.64] 来自未来的科技蓝图
[0500.64-0502.20] 特殊人际关系或势力
[0502.20-0504.08] 如主角就下的隐世高人
[0504.08-0505.96] 暗中支持主角的神秘组织
[0505.96-0507.24] 复杂的系统或脑洞
[0507.24-0510.08] 如果系统本身有背景有目的
[0510.08-0512.48] 有背后大佬或者系统本身有生命
[0512.48-0514.84] 组合型金手指多种元素
[0514.84-0516.40] 组合更需要整体合理
[0517.60-0520.84] 第二种不太需要考虑深层次合理性的
[0520.84-0521.68] 金手指
[0521.68-0525.44] 这类金手指通常作为纯粹的外挂工具存在
[0525.44-0528.16] 作者和读者达成一种默认契约
[0528.16-0531.56] 读者默认它就是用来给主角开挂的
[0531.56-0535.44] 不必深究其终极来源和宇宙真理
[0536.52-0538.20] 只要包括简单直接的系统
[0538.20-0540.00] 例如牵到就变强系统
[0540.00-0541.28] 杀怪爆修为系统
[0541.28-0543.80] 系统的核心逻辑是存在即合理
[0543.84-0545.68] 重点在系统功能带来的爽感
[0545.68-0547.00] 纯粹的脑洞设定
[0547.00-0548.24] 例如主角一觉醒来
[0548.24-0549.92] 全世界只有他能看见弹幕
[0549.92-0553.08] 他的重点在于这个设定引发的故事和冲突
[0553.08-0555.76] 不必解释为什么主角能看到弹幕
[0555.76-0558.92] 只需要描述弹幕的出现和带来的影响就可以
[0558.92-0560.88] 不同的金手指类型
[0560.88-0562.44] 有不同的设定侧重点
[0562.44-0564.28] 也会产生不同的效果
[0564.28-0567.32] 接下来头子就从相对简单的系统和脑洞
[0567.32-0570.16] 开始给大家掰开揉碎讲清楚
[0570.16-0571.56] 因为不用脚进脑汁
[0571.56-0575.00] 只解释系统和脑洞的必要性和唯一性
[0575.00-0576.36] 设定这类金手指示
[0576.36-0577.64] 我们只需要回答一个问题
[0577.64-0580.36] 那就是怎么完成角色优势的合理化
[0580.36-0583.08] 头子在脑洞文开头那期视频里
[0583.08-0586.12] 重点讲了以能力为核心来制造脑洞的方法
[0586.12-0588.96] 其实就是怎么完成角色优势合理化的方法
[0588.96-0589.96] 复习一下头子
[0589.96-0591.48] 为什么强调能力的重要性呢
[0591.48-0592.68] 因为角色拥有某种
[0592.68-0595.52] 超长的有趣的读者期待的能力
[0595.52-0597.96] 直接预示着他能在未来剧情中获得成功
[0597.96-0600.04] 这就给读者建立了一个强烈的期待
[0600.16-0602.68] 从建立期待到满足期待的过程
[0602.68-0605.20] 就是网门吸引力的核心引擎之一
[0605.20-0606.80] 爽点的构造过程
[0606.80-0609.80] 当时头子提供了两种思考方式
[0609.80-0610.64] 直接获得能力
[0610.64-0611.40] 间接获得能力
[0611.40-0613.68] 另外头子还根据逻辑线的拓展
[0613.68-0616.08] 丰富了脑洞设定的思考维度
[0616.08-0618.24] 头子给各位提供的逻辑线
[0618.24-0620.12] 是从能力开始推到
[0620.12-0621.60] 能力是用来干嘛的
[0621.60-0623.52] 答案是能力是用来解决问题的
[0623.52-0625.08] 解决问题是为了做什么
[0625.08-0626.44] 是为了获得奖励的
[0626.44-0627.96] 那么我们也可以把遇到的问题
[0627.96-0629.56] 变成好处或者直接给角色
[0629.56-0631.16] 提供能力产生的结果
[0631.16-0633.72] 今天头子要带大家进行身为思考
[0633.72-0636.20] 之前我们是从能力这个点往下推
[0636.20-0637.40] 现在我们换个方向
