[0005.04-0007.04] 老師,能否在詳細講講
[0007.04-0010.04] 利用成癮機制構建金手指的案例?
[0010.04-0019.09] 好吧,反正正好有空
[0019.09-0020.09] 我們先回顧一下
[0020.09-0022.09] 構建金手指的四個要素
[0022.09-0024.09] 第一,是配型
[0024.09-0026.09] 第二,可預判的結果
[0026.09-0028.09] 第三,可升級
[0028.09-0030.09] 第四,隨機性
[0030.09-0032.82] 哦,我是懂了
[0032.82-0034.82] 可具體要怎麼構建呢?
[0034.82-0037.82] 當你故事的框架搭建出來後
[0037.82-0039.82] 金手指就會自然而然地浮現了
[0039.82-0041.82] 那要怎麼搭建故事框架呢?
[0041.82-0043.82] 之前不是講過了嗎?
[0043.82-0044.82] 自己去補習
[0044.82-0047.82] 那我剛才交的學費能否退一下?
[0047.82-0049.82] 正要給你舉例說明呢
[0049.82-0051.82] 周深遲早期的電影《賭聖》
[0051.82-0053.82] 聽到這個片名,你會想起什麼?
[0053.82-0056.82] 賭聖?那肯定跟賭相關
[0056.82-0058.82] 我想起了麻將、普克、頭子
[0058.82-0061.82] 那你能想到的金手指是什麼?
[0061.82-0062.82] 逢賭必贏
[0062.82-0063.82] 具體點
[0063.82-0064.82] 這個嘛
[0064.82-0068.82] 那個一拳就能達斯反派的金手指如何?
[0068.82-0070.82] 賭聖的世界裡沒有怪人
[0070.82-0073.82] 一拳就能達斯人也有點太殘忍了
[0073.82-0076.82] 要嘛就只能平庸欺殘地活著
[0076.82-0079.82] 要嘛就一拳達斯人被通擊
[0079.82-0081.82] 不過反正也沒人打得過他
[0081.82-0083.82] 順理成章地成為大魔王
[0083.82-0084.82] 也不錯
[0085.82-0086.82] 不錯你個大頭鬼啊
[0086.82-0087.82] 老子可是要成為
[0087.82-0090.82] 將正義貫徹到底的人
[0090.82-0092.82] 你這麼激動幹什麼?
[0092.82-0094.82] 不好意思
[0094.82-0095.82] 上戲了
[0095.82-0097.82] 我們來看看圓篇是怎麼設定的
[0097.82-0098.82] 我的貨品
[0099.82-0100.82] 你都沒穿
[0100.82-0108.93] 你幾隻妹來?
[0108.93-0109.93] 中間三隻發財
[0109.93-0110.93] 右邊四隻紅中
[0110.93-0112.93] 左邊四隻白板
[0112.93-0114.93] 是這麼多
[0114.93-0126.07] 不夠慘啊
[0126.07-0127.07] 這沒啥用
[0127.07-0129.07] 因為你走錯片場了
[0129.07-0131.07] 影片中的星爺不僅會透視
[0131.07-0133.07] 還能變牌
[0133.07-0135.07] 這對喜歡賭的打輸來說
[0135.07-0137.07] 比飛天遁地還好使
[0137.07-0139.07] 原來這就是試配性
[0139.07-0141.07] 那可預判的結果呢
[0141.07-0144.07] 號賭的打輸和會透視變牌的星爺
[0144.07-0146.07] 你說能幹什麼?
[0146.07-0147.07] 我想一想
[0147.07-0150.07] 當然是各種開掛銀錢啦
[0150.07-0152.07] 那可升級呢
[0152.07-0154.07] 這部片子星爺一開始
[0154.07-0155.07] 就很厲害了
[0155.07-0157.07] 金手紙沒有升級
[0157.07-0159.07] 可隨著賭注的不斷增加
[0159.07-0161.07] 風險變得越來越大
[0161.07-0163.07] 這也是一種升級
[0163.07-0164.07] 原來如此
[0164.07-0166.07] 有空去研究一下遊戲
[0166.07-0168.07] 自身升級裝備升級
[0168.07-0171.07] 技能升級對手升級
[0171.07-0173.07] 各種套路應有盡有
[0174.07-0176.07] 那麼隨機性呢?
[0176.07-0177.07] 在賭聖一裡面
[0177.07-0179.07] 這一點還沒完善
[0179.07-0182.07] 只是設定了不能過度使用特異功能
[0182.07-0184.07] 在賭聖二和賭俠裡面
[0184.07-0186.07] 便引入了十零十不零
[0186.07-0188.07] 這個隨機性設定
[0228.54-0230.54] 若他每次鬥靈
[0230.54-0232.54] 觀眾的確也會想看他裝逼
[0232.54-0234.54] 可他十零十不零的時候
[0234.54-0236.54] 懸念便出來了
[0236.54-0238.54] 觀眾也緊張了起來
[0238.54-0241.54] 想知道他最後怎麼裝備成功
[0241.54-0242.54] 原來如此
[0242.54-0244.54] 越是符合這個成癮機制
[0244.54-0245.54] 便越上頭
[0245.54-0248.54] 能否講講網文的例子
[0248.54-0249.54] 網文?
[0249.54-0250.54] 糟了
[0250.54-0253.54] 網文什麼的我根本一概不懂
[0253.54-0255.54] 隨便說一步忽悠一下他吧
[0255.54-0256.54] 不惜
[0256.54-0258.54] 完全想不起來呀
[0258.54-0260.54] 這個網文嘛
[0260.54-0261.54] 你不是在看《逗羅大陸》嗎?
[0261.54-0264.54] 你來說一說《逗羅大陸》開篇都講了什麼?
[0264.54-0266.54] 《逗羅大陸》一開篇
[0266.54-0268.54] 就講了主角是千年一遇的武學奇才
[0268.54-0270.54] 到達了武學巔峰後
[0270.54-0271.54] 就自殺了
[0271.54-0272.54] 然後呢?
[0272.54-0273.54] 然後就轉生了呀
[0273.54-0275.54] 那他的武功訣學呢?
[0275.54-0278.54] 他記得所有訣事密集的內容
[0278.54-0279.54] 哦
[0279.54-0280.54] 這邊是金手指
[0280.54-0282.54] 那他轉生到什麼世界去了?
[0282.54-0284.54] 武力之上的《逗羅大陸》
[0284.54-0285.54] 哦
[0285.54-0286.54] 這邊是試配型
[0286.54-0288.54] 那如果他重新練成訣學
[0288.54-0289.54] 會怎樣?
[0289.54-0291.54] 當然是無敵各種裝逼呀
[0291.54-0292.54] 哦
[0292.54-0294.54] 這邊是可預判性
[0294.54-0295.54] 可是不對呀
[0295.54-0297.54] 主角修練停滯不前
[0297.54-0299.54] 要取得魂環才能進階
[0299.54-0301.54] 這不就是可升級嘛
[0301.54-0302.54] 原來如此
