[0003.12-0006.64] 同样是追不到女神就比死还难受的电影
[0006.64-0009.72] 为何外卖仔会让人忍不住为他加油那海
[0014.21-0017.45] 而严大海会让人忍不住想给他两拳呢
[0017.45-0018.93] 我把他放到胸口
[0020.17-0021.05] 舒服
[0022.17-0025.89] 这就是让观众快速与主角共鸣的重要性
[0025.89-0026.73] 下面
[0026.73-0031.05] 龙众推荐快速让主角引人共鸣的九大绝技
[0031.05-0034.89] 解锁每个绝技仅需999元
[0035.01-0036.61] 你再说一次
[0037.61-0038.45] 善良
[0038.93-0040.01] 善良
[0040.45-0043.05] 第一个绝技就是善良
[0043.05-0044.49] 孟子曾经说过
[0044.49-0047.09] 侧隐之心人之端眼
[0047.09-0050.01] 如果看到一个不懂事的小孩爬上琴口
[0050.01-0052.45] 每个人都会产生侧隐之心
[0052.45-0054.61] 并出手阻止悲剧的发生
[0054.61-0055.93] 这就是人性
[0055.93-0057.65] 是所有人的共性
[0057.65-0058.37] 因此
[0058.37-0062.05] 角色的善良必定会引起观众的共鸣
[0062.05-0063.09] 可在现实中
[0063.09-0065.93] 能够保持善良的人少之又少
[0065.93-0067.37] 又怎么会共鸣呢
[0067.37-0068.69] 王阳明说过
[0068.69-0070.41] 良知自在人心
[0070.41-0072.33] 一个贼也有良知
[0072.33-0073.97] 你当面骂一个贼是贼
[0073.97-0075.45] 他也会生气
[0075.45-0077.25] 每个人都有良知
[0077.25-0079.69] 只不过是被私欲遮蔽了
[0079.69-0082.09] 现实中大多数人破于无奈
[0082.09-0083.73] 不得不收起善良
[0083.73-0085.57] 把自己武装了起来
[0085.57-0086.81] 但他们的内心
[0086.81-0089.77] 还是渴望着成为善良的人
[0089.77-0090.61] 不对啊
[0090.61-0091.85] 调查研究发现
[0091.85-0095.13] 有一种名为反社会型人格障碍的心理疾病
[0095.13-0096.41] 患有这种疾病的人
[0096.41-0097.81] 有高度的攻击性
[0097.81-0098.73] 无修使心
[0098.73-0100.01] 行为无计划
[0100.01-0100.61] 嗯
[0100.61-0101.13] 你
[0101.13-0102.33] 就是这样的杠惊
[0103.33-0103.89] 滚
[0103.89-0105.01] 值得一提的是
[0105.01-0107.97] 主角不一定要是传统意义上的好人
[0107.97-0110.97] 获得奥斯卡最佳影片提名的小丑里面
[0110.97-0113.29] 有一幕让我印象深刻
[0113.29-0114.77] 主角患有精神病
[0114.77-0116.25] 并极度验视
[0116.25-0117.73] 按耐不住毁掉世界
[0117.73-0119.85] 毁掉自己的冲动
[0119.85-0120.73] 他爆发后
[0120.77-0122.25] 杀掉了前同事
[0122.25-0125.25] 但他放走了唯一对他真心相待的小矮人
[0126.37-0132.58] 这是他良知的体现
[0132.58-0135.46] 让观众没有彻底断掉与他的共情
[0135.46-0137.26] 这种悲剧英雄类的主角
[0137.26-0139.94] 我们有机会单独讲
[0139.94-0141.26] 下面我们对比一下
[0141.26-0143.26] 两部片子的人物登场
[0143.26-0145.70] 外卖在报警说他被人抢劫
[0145.70-0146.86] 他看对方可怜
[0146.86-0149.62] 把所有的钱和衣服都给了对方
[0149.62-0151.82] 展示了外卖在善良到了极致
[0151.86-0154.89] 甚至有点傻
[0154.89-0156.81] 颜大海却说保护费失败
[0156.81-0157.77] 被同伴揍领的
[0157.77-0159.77] 保护费也没收吧
[0159.77-0160.89] 收了
[0160.89-0162.73] 掌柜的只给这个
[0162.73-0164.41] 我想着做一个护心剑
[0165.73-0167.09] 你在干什么
[0167.09-0168.33] 我也想揍他
[0168.33-0169.97] 人物一登场就暴露了
[0169.97-0171.81] 他两大致命的缺点
[0171.81-0173.81] 懦弱没有责任心
[0173.81-0175.89] 因为懦弱还没有完成任务
[0175.89-0177.73] 还洗皮笑脸耍剑
[0177.73-0180.37] 让我们产生了想揍他的冲动
[0180.37-0182.21] 可是他玩了一个好笑的梗啊
[0182.25-0184.89] 小岳岳平时讲相声也是渐渐的
[0184.89-0186.29] 也很搞笑啊
[0186.29-0188.37] 凭什么这里不可以这样玩
[0188.37-0191.01] 现实中我们了解小岳岳的人设
[0191.01-0191.97] 他讲相声时
[0191.97-0193.97] 玩耿耍剑搞笑
[0193.97-0196.25] 平时友善勤奋正能量
[0196.25-0197.85] 我们当然能接受
[0197.85-0198.85] 但在戏里
[0198.85-0200.33] 他是颜大海
[0200.33-0202.17] 登场后人设不讨好
[0202.17-0203.53] 就显得欠揍
[0203.53-0205.69] 可是外卖在也懦弱呀
[0205.69-0207.49] 这个我们稍后探讨
[0207.49-0208.33] 说到备揍
[0208.33-0210.53] 就顺便先说一下绝技二
[0210.53-0212.17] 不公平的伤害
[0212.17-0214.81] 倘若颜大海是因为对方老弱病残
[0214.81-0216.41] 冒着风险放过对方
[0216.41-0217.45] 导致被打
[0217.45-0219.25] 效果完全不一样
[0219.25-0220.85] 既呈现了他的善良
[0220.85-0222.81] 又遭到了不公平的伤害
[0222.81-0225.29] 会让观众与他产生共鸣
[0225.29-0227.61] 可这样就玩不了梗啊
[0227.61-0229.29] 我们看看破坏之王里面
[0229.29-0232.85] 导演是怎么使用不公平的伤害这招
[0232.85-0234.09] 外卖在警求老板
[0234.09-0236.53] 不要让他去这么远的地方送外卖
[0236.53-0239.21] 可老板却让他送去更远的地方
[0239.29-0240.61] 同时捉弄他
[0240.61-0242.69] 沿路过的学生也欺负他
[0244.69-0246.89] 外卖在太善良单纯
[0246.89-0248.13] 每个人都欺负他
[0248.13-0249.53] 占他便宜
[0249.53-0252.17] 喂 我说这两句玩不了梗了
[0252.17-0255.05] 这个世界上充满着各种的不公平
[0255.05-0258.29] 每个人或多或少都会对这个世界不满
[0258.29-0259.45] 不公平的伤害
[0259.45-0262.69] 能唤醒观众在生活中无辜受到的冤枉
[0262.69-0265.37] 产生的伤害和委屈情绪
[0265.37-0268.13] 并且可以把主角逼到无路可退
[0268.17-0271.65] 不得不出手的境地有助于剧情的推动
[0271.65-0273.05] 主角出手的时候
[0273.05-0275.25] 观众不仅能接纳理解
[0275.25-0277.85] 甚至还会有痛苦的释放感
[0277.85-0279.65] 你龙了还是傻了
[0279.65-0281.85] 我说这样玩不了梗了
[0281.85-0283.41] 你滚
[0283.41-0285.93] 绝技三受到他人的喜爱
[0285.93-0288.17] 外卖在与女神的初次相遇
[0288.17-0289.97] 女神就亲了外卖在
[0289.97-0293.78] 没天理啊
[0293.78-0295.86] 女神他干嘛亲他不亲我
[0295.86-0297.58] 而且外卖在一穷二白
[0297.58-0299.14] 这也太不合理了
[0299.18-0300.02] 小贴士
[0300.02-0302.30] 当主角某种程度上很烂的时候
[0302.30-0303.26] 安排更烂
[0303.26-0305.34] 更恐怖的对手来衬托
[0305.34-0307.30] 本篇中外卖在一穷二白
[0307.30-0308.50] 一无所有
[0308.50-0310.66] 可是当女神面对烂人黑熊
[0310.66-0312.22] 不断骚扰的时候
[0312.22-0313.50] 外卖在的人处无害
[0313.50-0314.50] 成了闪光点
[0314.50-0316.26] 你这位女生吃完我都不收她
[0316.26-0318.02] 为什么你不好好把握这个机会
[0318.02-0319.18] 啊女神
[0319.18-0321.02] 我的女神
[0321.02-0322.26] 白痴
[0322.26-0323.82] 接下来要展示的是
[0323.82-0325.54] 绝技四努力
[0325.54-0327.90] 绝技五执着
[0327.94-0329.38] 主角认定一个目标
[0329.38-0330.38] 强力的执着
[0330.38-0332.70] 能确保剧本不偏离方向
[0332.70-0334.86] 坚持不懈的努力追逐目标时
[0334.86-0336.22] 推至高潮
[0336.22-0337.34] 很多励志电影
[0337.34-0339.14] 光是运用这两项绝技
[0339.14-0341.14] 就让人热泪盈眶
[0341.14-0342.54] 外卖在为了约女神
[0342.54-0345.30] 去看张学友的演唱会通宵排队
[0345.30-0347.34] 后面更是通过不懈的努力
[0347.34-0349.62] 以弱胜强打败了大师兄
[0349.62-0351.50] 绝技六勇气
[0351.50-0353.18] 在故事策略原文里
[0353.18-0354.14] 交大绝技
[0354.14-0356.02] 勇气排名第一
[0356.02-0357.54] 原文是这样说的
[0357.58-0359.74] 你的主角必须有胆量
[0359.74-0361.94] 这可没有讨价还价的余地
[0361.94-0364.14] 我们更乐意认同有缺点的人
[0364.14-0365.22] 但这些缺点
[0365.22-0367.62] 定然不能包括缺乏勇气
[0367.62-0370.26] 如果主角没有勇气把握自己的命运
[0370.26-0373.42] 那么就会认为编剧笔下的消极主角
[0373.42-0375.70] 这一直是众多原创新剧本
[0375.70-0378.38] 买不出去的主要原因之一
[0378.38-0380.90] 可是外卖在就很懦弱呀
[0380.90-0382.14] 黑熊揍她的时候
[0382.14-0383.34] 她竟然躲开了
[0383.34-0384.66] 导致女神受伤
[0384.66-0387.46] 而且女神都亲口说了她懦弱
[0388.46-0396.03] 我们回到外卖在与女神出色相遇的场景
[0396.03-0397.39] 外卖在因为害羞
