[0000.00-0002.20] 我们先来对比一下两个人
[0002.20-0005.60] 一个是大名地理的托尼斯塔克钢铁小本人
[0005.60-0007.40] 聪明绝顶的科学家
[0007.40-0009.50] 斯塔克军火公司的老板
[0009.50-0011.80] 马克系列钢铁战役的创造者
[0011.80-0014.80] 他的能力就是创造强大的钢铁战役
[0014.80-0016.20] 第二个人叫小明
[0016.20-0019.20] 生活在科技发达的太空制造世界
[0019.20-0022.70] 当时已经有了集成多种功能的加工中心
[0022.70-0024.40] 小明就有一台
[0024.40-0026.50] 有一天小明的脑海里突然多了
[0026.50-0029.10] 许多钢铁战役的设计图纸
[0029.10-0030.30] 利用这些图纸
[0030.30-0034.00] 他可以制造出远超当时水平的钢铁战役
[0034.00-0036.90] 现在我们就两个人的能力来说
[0036.90-0040.00] 谁更像是得到了金手指
[0040.00-0042.40] 很显然是小明对吧
[0042.40-0043.70] 那么问题就来了
[0043.70-0045.80] 同样是制造钢铁战役
[0045.80-0048.60] 钢铁侠和小明又有什么不同呢
[0048.60-0051.10] 他们都合理利用了自身的资源
[0051.10-0054.10] 他们都拥有超前的钢铁战役设计
[0054.10-0056.60] 都创造了超越时代的机甲
[0056.60-0058.80] 他们的行为不是一样的吗
[0058.80-0062.40] 为什么一看就知道小明得到了金手指呢
[0062.40-0066.50] 其实就是因为小明的那些先进图纸来源不明
[0066.50-0069.30] 那些图纸是凭空出现的脑海中的
[0069.30-0072.20] 钢铁侠能制造钢铁战役是合理的
[0072.20-0076.40] 因为他的父亲霍华德斯塔克一手创造了斯塔克工业
[0076.40-0079.80] 这是漫威世界观众属于所谓的科技公司
[0079.80-0083.20] 钢铁侠大概率拥有前人的技术储备
[0083.20-0086.20] 其实钢铁侠本身继承的优秀的头脑
[0086.20-0088.00] 他是顶尖大学毕业
[0088.00-0089.60] 他继承了斯塔克工业后
[0089.60-0092.30] 也发明了许多威力巨大的武器
[0092.30-0094.70] 证明其本人也是有能力的
[0094.70-0095.90] 而小明呢
[0095.90-0099.00] 除了知道他在一个科技几位发达的世界
[0099.00-0102.00] 手里有一台可以制造战役的加工中心
[0102.00-0103.90] 其他的都是空白
[0103.90-0106.20] 那么我们增加一个条件
[0106.20-0109.30] 小明从一个宇宙机械文明的飞船上
[0109.30-0111.20] 拆下了一个数据牌
[0111.20-0114.00] 里面就记载了这些先进战役的图纸呢
[0114.00-0116.10] 那是不是就合理多了
[0116.10-0119.10] 金手指的技饰感是不是就淡了许多了
[0119.10-0121.50] 到这里我们就能看出来
[0121.50-0124.30] 金手指除了没有前置铺垫以外
[0124.30-0127.80] 本质上就是主角解决困境的工具而已
[0127.80-0130.40] 只不过这个工具因为现在的网络快节之后
[0130.40-0132.20] 被迫提前出现了
[0132.20-0133.90] 钢铁侠的钢铁战衣
[0133.90-0136.50] 美国队长接受的身体改造
[0136.50-0139.50] 绿巨人遭遇辐射后的狂暴变身
[0139.50-0141.90] 这些能力不去成层万一之后
[0141.90-0144.60] 其实和金手指的功能是一样的
[0144.60-0147.00] 就是帮助主角战神困境
[0147.00-0149.70] 他们本质上就是一个东西
[0149.70-0153.20] 当你把他们的前置铺垫全部都删除之后
[0153.20-0156.70] 你就会发现这些能力其实就是金手指
[0158.00-0159.70] 在如今的网络小说中
[0159.70-0164.40] 金手指极端到已经开篇前三段话就必须出现了
[0164.40-0165.50] 至于合不合理
[0165.50-0168.50] 也无影响带入感都不是最先考虑的事情
[0169.40-0170.80] 这种现象的本质
[0170.80-0172.60] 就是我们现在必须把故事中
[0172.60-0174.80] 最吸引人的内容拿到开头
[0175.30-0177.40] 这样才能吸引读者的注意力
[0178.20-0182.40] 虽然小说发展至今一直都在注重如何在开头吸引读者
[0182.90-0187.00] 但在如今这个需要和漫画短视频争夺注意力的时代
[0187.60-0190.20] 小说甚至可以抛弃正常结构
[0190.20-0192.20] 创造出金手指这样的东西
[0194.30-0198.00] 金手指就是缺少铺垫的解决问题工具
[0198.00-0200.10] 他们本质上是一个东西
[0200.10-0202.40] 这一点我要再次提醒各位
