[0010.19-0015.69] 在开始讲之前,我正中声明一下本期视频对于新人来说非常重要
[0015.69-0021.39] 尤其关乎很多新人所谓我不想写爽文,不想写小白文怎么办这个问题
[0021.39-0024.79] 首先我来讲金手纸对网文有多么重要
[0024.79-0027.49] 金手纸很大程度上决定了两个问题
[0027.49-0029.69] 第一是能不能赚钱的问题
[0029.69-0033.19] 因为网文发展这么多年,金手纸形势千变万化
[0033.19-0036.89] 如果你的金手纸没有什么心意,那么读者根本就不会点进来
[0036.89-0039.89] 第二是你的书能赚多久钱的问题
[0039.89-0043.69] 因为很多人为了求心求义,这个金手纸会开得非常大
[0043.69-0047.09] 这样就导致你写了三五十万字以后,你的小数时间就崩了
[0047.09-0048.19] 后期根本没法看
[0048.19-0053.09] 一本书你能赚五十万字的钱和能赚两百五十万字的钱区别是非常大的
[0053.09-0057.59] 各位知道这个金手纸很重要以后,我就从底层逻辑开始弹起
[0057.59-0061.39] 首先我们谈为什么网文要存在金手纸,它有什么定义
[0061.39-0063.59] 网文其实就是一场白日梦
[0063.59-0066.79] 在梦里我们在符合逻辑的情况下就是在看
[0066.79-0070.39] 主角如何披荆斩辑,战胜困难,最后成功
[0070.39-0071.99] 它如何达成成功呢?
[0071.99-0075.49] 我们看到现实世界里很多人都是因为有过人的意志
[0075.49-0078.69] 过人的身体素质或者智力走到了成功的这一步
[0078.69-0083.39] 那么在小说之中,所有能让主角与中不同托重而出的这一点
[0083.39-0086.99] 都可以成为金手纸,这么多年发展以后金手纸越来越夸张
[0086.99-0088.99] 但是无论夸张到什么地步
[0088.99-0092.49] 我认为广义上的金手纸都符合以下两个要求
[0092.49-0094.99] 第一,它凸显了主角与中不同
[0094.99-0097.89] 第二,它帮助主角克服困难走向成功
[0097.89-0101.29] 那么接下来讲优秀的金手纸有哪四个特征?
[0101.29-0104.89] 第一,金手纸是表达主题和思想的一个主要路径
[0104.89-0106.69] 很多新人根本没有意识到这一点
[0106.69-0110.09] 它只是把金手纸当成了一个单纯的装逼的工具
[0110.09-0111.69] 事实上有这么一句话
[0111.69-0115.59] 我希望各位不想单纯写爽文的新人能够记住
[0115.59-0118.69] 所有的爽点背后都是矛盾的解决
[0118.69-0121.39] 所有矛盾的解决都是主角的选择
[0121.49-0125.29] 所有主角的选择背后都硬设着作者的思想
[0125.29-0129.99] 所以之前我说金手纸是用来解决主角所面临的主要问题的
[0129.99-0130.99] 按这个逻辑下来
[0130.99-0135.29] 金手纸就很大程度上决定了你这篇文章要表达什么思想
[0135.29-0137.09] 所以各位一定要注意这一点
[0137.09-0141.09] 第二,作品的背景设定一定要围绕金手纸来进行
[0141.09-0144.59] 很多新人作者在设定的时候都是天马行空
[0144.59-0146.89] 但是却忽略了金手纸的作用
