[0000.50-0003.30] hello 大家好 欢迎大家来参加陈硕老师的网红课
[0003.30-0006.42] 那么这些课老师给大家总结了50个讨喜人设
[0006.42-0008.98] 那么网红圈有句话叫做人设力的好
[0008.98-0009.98] 小说分不了
[0009.98-0011.70] 可见这个人设是十分重要的
[0011.70-0015.90] 那么很多我们开篇主要是用来吸引读者
[0015.90-0017.30] 主要是用情节吸引读者
[0017.30-0020.10] 那么后期越到后期其实读者留下来
[0020.10-0022.30] 往往是因为他喜欢你的主角人设
[0022.30-0023.66] 人设讨喜的话
[0023.66-0026.50] 后期就算你写文写得相对水一点问题
[0026.50-0027.26] 也不是特别大
[0027.26-0029.42] 他们会因为喜欢你的主角留下来的
[0029.46-0029.94] 对吧
[0029.94-0032.06] 但是我在教学的过程中发现
[0032.06-0033.90] 就是很多同学对于这个人设
[0033.90-0035.42] 这个写作都比较平
[0035.42-0036.34] 都比较平
[0036.34-0038.30] 那么如何设计讨喜的人设呢
[0038.30-0039.82] 那么我这边总结了50个
[0039.82-0041.46] 那么大家来看一下就可以了
[0041.46-0044.34] 那么老师的小说课已经开班了
[0044.34-0045.74] 那么这个是老师的课表
[0045.74-0046.70] 如果说你感兴趣的话
[0046.70-0049.06] 可以结个评或者暂停一下
[0049.06-0049.74] 暂停一下
[0049.74-0051.58] 如果你想报名的话加老师
[0051.58-0053.10] 然后背住小课课报名就可以了
[0053.10-0053.62] 好吧
[0053.62-0056.86] 那么我也把这个50个人设总结成一张表格
[0056.86-0058.70] 如果说你先做笔记麻烦的话
[0058.70-0059.58] 你可以加我
[0059.58-0061.58] 然后背住人设就可以了
[0061.58-0062.58] 我做课不容易
[0062.58-0064.54] 大家希望大家一见三连支持一下
[0064.54-0065.14] 支持一下
[0065.14-0067.06] 那么开始这个第一个人设
[0067.06-0068.50] 人前大气得起
[0068.50-0069.66] 周全大军
[0069.66-0071.62] 人后独立洒脱
[0071.62-0072.62] 清冷淡然
[0072.62-0074.30] 你会发现其实人前人后
[0074.30-0075.46] 稍微是有一些反差的
[0075.46-0078.90] 但是人前的这个特性和人后的特性
[0078.90-0080.46] 都还挺正面的
[0080.46-0082.46] 所以说这个也是一个讨喜人设
[0082.46-0084.66] 表面敬于天心不动声色
[0084.66-0086.34] 内心敏感缺碍又多
[0086.34-0088.06] 一样年人小妙
[0088.26-0089.70] 其实讨喜的是哪部分
[0089.70-0091.30] 就是年人小妙
[0091.30-0094.54] 然后这个敬于天心不动声
[0094.54-0096.14] 前后还是有反差的
[0096.14-0096.98] 反差的
[0096.98-0097.34] 对吧
[0097.34-0100.26] 看似不知冷直直难操汉
[0100.26-0102.38] 这表面实则铁汉柔情
[0102.38-0103.66] 安全感爆捧
[0103.66-0105.86] 这种人设很讨喜
[0105.86-0107.34] 表面乖巧懂事
[0107.34-0109.06] 第四个表面乖巧懂事
[0109.06-0110.26] 单纯甜美
[0110.26-0112.26] 内心古怪古灵惊怪
[0112.26-0113.26] 敢爱敢恨
[0113.26-0116.26] 表面和内心都还挺讨喜的
[0116.74-0118.86] 我看似小心机小桌腰
[0118.86-0120.46] 小桌筋大吃货
[0120.46-0123.14] 一般来说很多的女主都大吃货
[0123.14-0124.42] 实则贴心小妙
[0124.42-0125.30] 人妻属性拉满
[0125.30-0126.98] 然后前后都还挺好
[0126.98-0127.90] 都还挺好
[0127.90-0129.26] 看似精神不振
[0129.26-0129.62] 病压压
[0129.62-0132.14] 你看这个是一个表面
[0132.14-0133.34] 不太好的一个人设
[0133.34-0133.54] 对吧
[0133.54-0134.70] 但实则满负惊
[0134.70-0135.26] 轮大清爽
[0135.26-0136.30] 阳光算席护膝
[0136.30-0138.42] 那你当你了解他以后
[0138.42-0142.06] 你会被他的内在的人设给信住
[0142.06-0143.66] 第七个看似话牢
[0143.66-0146.10] 天然呆也是一个很好的人设
[0146.14-0146.82] 随时脏毛
[0146.82-0148.10] 实则害羞
[0148.10-0148.86] 脸皮薄
[0148.86-0149.86] 一孔就好
[0149.86-0152.10] 是个比较门的一个人设
[0152.10-0152.66] 对吧
[0152.66-0154.26] 第八个看似不学无数
[0154.26-0155.30] 玩故子弟
[0155.30-0157.26] 实则震盗的光
[0157.26-0158.50] 有原则有底线
[0158.50-0159.14] 对吧
[0159.14-0161.82] 第九个表面目中无人一气指使
[0161.82-0163.70] 内心敏感黏人小可怜
[0163.70-0165.42] 大家如果说喜欢这个人设的话
[0165.42-0166.70] 可以在屏幕里扣个一
[0166.70-0168.70] 那么扣一扣的最多的
[0168.70-0170.66] 可能肯定是大家都喜欢的
[0170.66-0171.22] 是吧
[0171.22-0172.90] 大家也可以知道哪些人设
[0172.90-0173.90] 比较讨喜
[0173.90-0174.42] 好吧
[0174.42-0175.22] 第十个
[0175.26-0177.82] 人前霸道独断大狼狗
[0177.82-0179.94] 人后阳光董事小奶狗
[0181.34-0182.86] 这个往往是男主
[0182.86-0183.06] 对吧
[0183.06-0183.42] 男主
[0184.70-0185.42] 表面
[0185.42-0185.86] 第十一
[0185.86-0186.98] 表面克制内敛
[0186.98-0187.98] 道德标杆
[0187.98-0189.22] 内心闷骚斗臂
[0189.22-0190.02] 满脑沸掉
[0191.02-0192.50] 前后一位比较大的反差
[0192.50-0193.38] 比较大的反差
[0193.38-0193.90] 第十二个
[0193.90-0196.18] 看似离京叛道野蛮生长
[0196.18-0198.42] 实则人间清醒
[0198.42-0199.30] 专制不服
[0200.30-0200.74] 第十三个
[0200.74-0202.86] 看似老师人比较好欺负
[0202.86-0206.06] 实则真摯坦荡有坚持
[0206.06-0206.82] 第十四个
[0206.82-0209.34] 表面实心木头不开窍
[0209.34-0213.98] 实则交憨闷骚意推荡
[0213.98-0216.30] 这也是一个前后反差
[0216.30-0218.38] 老师自己本身自己的人设
[0218.38-0219.62] 也是有点反差的
[0219.62-0219.94] 表面
[0219.94-0221.82] 其实我是一个做学问的
[0221.82-0223.42] 然后教学的这么一个老师
[0223.42-0224.98] 但其实最近一段时间
[0224.98-0226.70] 我在上这个开车
[0226.70-0227.42] 怎么样开车
[0227.42-0228.34] 证课里
[0228.34-0229.58] 结果这个人设崩了
[0229.58-0230.70] 人设崩了
[0230.70-0231.18] 好吧
[0231.18-0231.98] 第十五个
[0232.02-0233.86] 表面独舍嘴硬面不改色
[0233.86-0235.34] 内心口咸
[0235.34-0236.94] 气质越线越深
[0236.94-0239.78] 这也是表面都是那种冷冷的高冷
[0239.78-0240.14] 男主
[0240.14-0241.94] 一般女评伪会用的比较多
[0241.94-0243.22] 就表面比较高冷
[0243.22-0245.02] 内心就很闷骚
[0245.02-0247.62] 表面冷末淡然高领之花
[0247.62-0249.78] 实则娇门软弱超年人
[0249.78-0250.90] 这女主
[0250.90-0252.82] 表面英遇偏执
[0252.82-0255.58] 实则温潤如玉温柔的绅士
[0255.58-0256.14] 第十八个
[0256.14-0257.10] 表面纯纷得意
[0257.10-0257.70] 完事不公
[0257.70-0260.06] 实则真诚直求未爱分斗
[0260.06-0260.82] 第十九个
[0260.86-0262.66] 表面活细咸与躺平摆烂
[0262.66-0264.02] 实则可言可填
[0264.02-0264.66] 能去能生
[0264.66-0265.82] 为了梦想制作坚持
[0266.82-0268.14] 这是也是一个反差
[0268.14-0268.90] 很多的人设
[0268.90-0270.62] 其实他都是要反差了
[0270.62-0271.38] 一开始
[0271.38-0272.18] 你不了解的时候
[0272.18-0273.70] 人家觉得这个人怎么
[0273.70-0274.86] 怎么转转的怪怪的
[0274.86-0276.82] 但是你了解以后发现很讨喜
[0276.82-0279.06] 但是你这个过程不能太久
[0279.06-0279.66] 不能太久
[0279.66-0281.70] 你要在差不多三五张的时候
[0281.70-0283.54] 慢慢的把这个好好的一面
[0283.54-0284.58] 给他体现出来
[0284.58-0285.46] 给他体现出来
[0285.46-0286.58] 不然的话独子还是要跑的
[0286.58-0287.22] 对吧
[0287.22-0289.02] 因为前面你是拿剧情来吸引独子
[0289.02-0290.34] 后期是拿人设的
[0290.34-0292.50] 你前面剧情差不多三张
[0292.50-0293.90] 剧情已经交代完毕以后
[0293.90-0294.86] 你开始人设
[0294.86-0297.66] 当然很多的文章在第一张
[0297.66-0299.86] 如果说你能把人设给立住的话
[0299.86-0300.58] 比较好的话
[0300.58-0302.94] 那么独者也是会因为你的人设留下来的
[0302.94-0304.70] 就算剧情稍微拉垮点问题也不大
[0304.70-0305.86] 人设逃袭就可以
[0305.86-0307.10] 人嫌牙滋必报
[0307.10-0307.78] 武力之报表
[0307.78-0309.22] 人后骄软
[0309.22-0310.66] 哭包阴阴快
[0310.66-0312.38] 二十一表面高人
[0312.38-0313.10] 高贵冷艳
[0313.10-0317.42] 立志上后期是实则外冷内热
[0317.42-0318.18] 温柔护短
[0318.18-0318.74] 是吧
[0318.74-0319.26] 二十二个
[0319.30-0320.46] 人前死妖面子
[0320.46-0321.58] 逞强装逼
[0321.58-0323.74] 人后一秒认怂之错就改
[0323.74-0324.30] 二十三个
[0324.30-0325.42] 前妻钢铁之男
[0325.42-0326.34] 坐牌不让后期
[0326.34-0327.18] 眼神拉丝
[0327.18-0328.50] 秒片痴汗
[0328.50-0329.46] 还是压运的
[0329.46-0331.10] 表面随时跑路
[0331.10-0332.54] 清醒理
[0332.54-0333.82] 清醒理性
[0333.82-0334.86] 失得填狗深情
[0334.86-0335.54] 美女不行
[0336.70-0337.14] 二十五
[0337.14-0338.38] 人前杀法古弹
[0338.38-0339.10] 面冷心硬
[0339.10-0341.18] 人后年人促精
[0341.18-0342.46] 硬核撒娇
[0343.26-0345.22] 这种去年的话
[0346.22-0347.26] 超男爵
[0347.26-0349.22] 其实东方青苍蟹
[0349.22-0351.14] 就这么个人设
[0351.14-0352.46] 这么个人设
[0352.46-0354.26] 前妻残暴无情
[0354.26-0354.70] 心狠手
[0354.70-0355.10] 是吧
[0355.10-0355.78] 东方青苍蟹
[0355.78-0357.18] 后期憨憨无奈
[0357.18-0358.34] 嘴硬心软
[0358.34-0360.18] 后期就变成小奶狗了
[0360.18-0361.22] 二十七
[0361.22-0362.42] 前妻心怀天下
[0362.42-0363.30] 宿命一生
[0363.30-0364.54] 后妻为君一笑
[0364.54-0366.14] 甘愿成伦
[0366.14-0366.78] 二十八
[0366.78-0367.66] 前妻富贵
[0367.66-0369.14] 交食指不沾洋春水
[0369.14-0370.74] 后妻自卑老实
[0370.74-0373.10] 生活技能点满
[0373.10-0374.34] 那么前妻
[0374.34-0375.74] 不是扁先先二十九
[0375.74-0376.50] 外表冷漠
[0376.50-0377.54] 对陌生人视而不见
[0377.54-0379.22] 那么对爱的人
[0379.22-0379.90] 很宠逆
[0379.90-0381.42] 过于谦让和温柔
[0381.42-0381.82] 对吧
[0381.82-0382.18] 对吧
